query_id,image_path,category,difficulty,scene_type,split,num_visible_items,background_complexity,important_features
Q001,queries/Q001.jpg,pants,hard,person_wearing,dev,2,low,
Q002,queries/Q002.jpg,pants,easy,clean_product,dev,1,low,
Q003,queries/Q003.jpg,top,hard,person_wearing,dev,2,medium,
Q004,queries/Q004.jpg,top,easy,clean_product,dev,1,low,
Q005,queries/Q005.jpg,top,medium,clean_product,dev,1,low,
Q006,queries/Q006.jpg,outer,hard,multi_item,dev,2,high,
Q007,queries/Q007.jpg,outer,medium,clean_product,dev,1,low,
Q008,queries/Q008.jpg,dress_skirts,medium,complex_background,dev,1,high,
Q009,queries/Q009.jpg,dress_skirts,easy,clean_product,dev,1,low,
Q010,queries/Q010.jpg,dress_skirts,medium,multi_item,dev,2,low,
Q011,queries/Q011.jpg,dress_skirts,hard,person_wearing,dev,1,medium,
Q012,queries/Q012.jpg,pants,medium,person_wearing,dev,1,medium,
Q013,queries/Q013.jpg,top,medium,clean_product,dev,1,low,
Q014,queries/Q014.jpg,outer,medium,person_wearing,dev,1,medium,
